City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,biskamzha,53.4497,89.5272,-9.28,71,100,1.07,RU,04/02/2023
276,antalaha,-14.9003,50.2788,23.7,93,100,1.4,MG,04/02/2023
277,atambua,-9.1061,124.8925,22.55,89,60,1.2,ID,04/02/2023
278,chifeng,42.2683,118.9636,10.74,59,100,1.86,CN,04/02/2023
279,iqaluit,63.7506,-68.5145,-10.15,52,75,4.63,CA,04/02/2023
280,bilibino,68.0546,166.4372,-23.31,97,98,1.02,RU,04/02/2023
281,kasongo-lunda,-6.4667,16.8167,20.7,91,96,0.31,CD,04/02/2023
282,kahului,20.8947,-156.47,27.01,54,75,3.6,US,04/02/2023
283,najran,17.4924,44.1277,19.36,50,84,5.44,SA,04/02/2023
284,suba,10.8438,121.0102,27.86,74,82,3.53,PH,04/02/2023
285,buluang,13.3068,123.3425,23.31,91,100,1.09,PH,04/02/2023
286,alekseyevka,50.6309,38.6903,6.66,75,100,2.79,RU,04/02/2023
287,rodrigues alves,-7.738,-72.6509,24.11,91,92,0.6,BR,04/02/2023
288,anadyr,64.75,177.4833,-15.72,78,75,2.0,RU,04/02/2023
289,coihaique,-45.5752,-72.0662,12.34,58,75,2.06,CL,04/02/2023
290,lima duarte,-21.8425,-43.7931,16.95,97,55,1.49,BR,04/02/2023
291,kununurra,-15.7667,128.7333,22.99,94,56,5.14,AU,04/02/2023
292,gladstone,-23.85,151.25,19.96,88,100,1.54,AU,04/02/2023
293,yarada,17.65,83.2667,26.9,83,96,4.61,IN,04/02/2023
294,cape canaveral,28.4058,-80.6048,29.04,70,0,5.66,US,04/02/2023
295,iskateley,67.6803,53.1512,-12.67,97,69,1.62,RU,04/02/2023
296,chuy,-33.6971,-53.4616,17.24,72,78,2.89,UY,04/02/2023
297,husavik,66.0449,-17.3389,1.21,82,100,2.7,IS,04/02/2023
298,college,64.8569,-147.8028,-0.52,84,100,5.14,US,04/02/2023
299,shitanjing,39.2342,106.3439,1.28,38,100,2.37,CN,04/02/2023
300,gat,31.61,34.7642,15.78,62,15,2.65,IL,04/02/2023
301,olafsvik,64.8945,-23.7142,4.35,85,100,4.98,IS,04/02/2023
302,ekibastuz,51.6667,75.3667,-1.54,45,30,4.16,KZ,04/02/2023
303,isla vista,34.4133,-119.861,21.55,69,0,2.57,US,04/02/2023
304,kaffrine,14.1059,-15.5508,25.1,46,1,4.66,SN,04/02/2023
305,acapulco,16.8634,-99.8901,30.21,48,23,4.85,MX,04/02/2023
306,corn island,12.1694,-83.0418,26.54,81,25,8.49,NI,04/02/2023
307,jardim,-21.4803,-56.1381,27.37,63,84,1.18,BR,04/02/2023
308,akyab,20.15,92.9,24.18,80,100,2.32,MM,04/02/2023
309,maltahohe,-24.8333,16.9833,19.32,35,3,5.21,NA,04/02/2023
310,polonnaruwa,7.9333,81.0,23.23,95,4,1.18,LK,04/02/2023
311,xingcheng,40.6167,120.7167,7.45,64,92,1.49,CN,04/02/2023
312,los llanos de aridane,28.6585,-17.9182,18.96,72,100,6.69,ES,04/02/2023
313,guajara,-2.9667,-57.6667,22.31,99,100,0.46,BR,04/02/2023
314,ostrovnoy,68.0531,39.5131,-7.6,84,100,1.98,RU,04/02/2023
315,morondava,-20.2833,44.2833,25.49,86,44,1.88,MG,04/02/2023
316,kibakwe,-6.7167,36.3667,17.68,96,89,1.43,TZ,04/02/2023
317,umm lajj,25.0213,37.2685,22.41,51,3,3.63,SA,04/02/2023
318,praia,14.9215,-23.5087,25.3,69,0,5.14,CV,04/02/2023
319,limon,10.0,-83.0333,25.03,88,100,3.09,CR,04/02/2023
